id,category,file,title,publisher,doc_number,published,pages,source_url,landing_page,sha256_12,notes
M09,maintenance,maintenance/doe_hdbk_1018_v1_mechanical_science_pumps_valves.pdf,DOE Fundamentals Handbook: Mechanical Science Volume 1 of 2 (Diesel Engines Heat Exchangers Pumps Valves),U.S. Department of Energy,DOE-HDBK-1018/1-93,January 1993,122,https://www.discountpdh.com/wp-content/themes/discountpdh/pdf-course/fundamentals-of-diesel-engines-heat-exchangers-pumps-and-valves.pdf,https://www.standards.doe.gov/standards-documents/1000/1018-bhdbk-1993-v1,f40087816df4,Public domain; mirror download with DOE landing page
Q01,quality,quality/mil_std_1916_acceptance_of_product.pdf,DoD Preferred Methods for Acceptance of Product,U.S. Department of Defense,MIL-STD-1916,1 April 1996,33,https://variation.com/wp-content/uploads/standards/mil-std-1916.pdf,https://everyspec.com/MIL-STD/MIL-STD-1800-1999/MIL_STD_1916_1002/,e61e0e330a6c,Sampling plans and verification levels
Q02,quality,quality/mil_hdbk_1916_companion_handbook.pdf,Companion Document to MIL-STD-1916,U.S. Department of Defense,MIL-HDBK-1916,10 February 1999,127,https://www.sqconline.com/sites/sqconline.com/files/MIL-HDBK-1916.pdf,https://everyspec.com/MIL-HDBK/MIL-HDBK-1800-1999/MIL_HDBK_1916_1808/,d1f570829a06,Guidance on applying the sampling standard
Q03,quality,quality/nist_tn1297_measurement_uncertainty.pdf,Guidelines for Evaluating and Expressing the Uncertainty of NIST Measurement Results,NIST,NIST Technical Note 1297,1994 Edition,25,https://emtoolbox.nist.gov/Publications/NISTTechnicalNote1297s.pdf,https://www.nist.gov/pml/nist-technical-note-1297,24ab13bd20d9,Measurement uncertainty for calibration and inspection
Q04,quality,quality/fda_process_validation_guidance_2011.pdf,Guidance for Industry: Process Validation General Principles and Practices,U.S. FDA,CGMP Revision 1,January 2011,22,https://www.fda.gov/media/71021/download,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/process-validation-general-principles-and-practices,821788a1127a,Process design qualification continued verification
Q05,quality,quality/fda_quality_systems_approach_cgmp_2006.pdf,Guidance for Industry: Quality Systems Approach to Pharmaceutical CGMP Regulations,U.S. FDA,Pharmaceutical CGMPs,September 2006,32,https://www.fda.gov/media/71023/download,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/quality-systems-approach-pharmaceutical-current-good-manufacturing-practice-regulations,69fa9da511ea,Quality system model CAPA change control
Q06,quality,quality/fda_ich_q9r1_quality_risk_management_2023.pdf,Q9(R1) Quality Risk Management Guidance for Industry,U.S. FDA / ICH,ICH Q9(R1),May 2023,34,https://www.fda.gov/media/167721/download,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q9r1-quality-risk-management,3e439cdcd022,FMEA HACCP risk ranking tools
Q07,quality,quality/fda_ich_q10_pharmaceutical_quality_system.pdf,Q10 Pharmaceutical Quality System Guidance for Industry,U.S. FDA / ICH,ICH Q10,April 2009,22,https://www.fda.gov/media/71553/download,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q10-pharmaceutical-quality-system,30bfd76f96c8,Management responsibility process performance monitoring
Q08,quality,quality/cfr_21_part_211_cgmp_finished_pharmaceuticals.pdf,21 CFR Part 211 Current Good Manufacturing Practice for Finished Pharmaceuticals,U.S. Government Publishing Office (govinfo),21 CFR Part 211,2024 edition (CFR annual),22,https://www.govinfo.gov/content/pkg/CFR-2024-title21-vol4/pdf/CFR-2024-title21-vol4-part211.pdf,https://www.ecfr.gov/current/title-21/part-211,6171d4642b52,Binding QC rule text: sampling testing records
X01,extras,extras/osha3088_workplace_emergencies.pdf,How to Plan for Workplace Emergencies and Evacuations,U.S. Dept. of Labor OSHA,OSHA 3088,2001 (Revised),30,https://www.osha.gov/sites/default/files/publications/osha3088.pdf,https://www.osha.gov/publications/publication-products?publication_title=3088,f01d011b0b1c,Extra safety doc
X02,extras,extras/cfr_29_1910_178_powered_industrial_trucks.pdf,29 CFR 1910.178 Powered Industrial Trucks,U.S. Government Publishing Office (govinfo),29 CFR 1910.178,2024 edition (CFR annual),15,https://www.govinfo.gov/content/pkg/CFR-2024-title29-vol5/pdf/CFR-2024-title29-vol5-sec1910-178.pdf,https://www.ecfr.gov/current/title-29/section-1910.178,1c47d60dde60,Extra safety doc (forklifts)
X03,extras,extras/osha3949_powered_industrial_trucks.pdf,Safe Forklift Operation (QuickCard),U.S. Dept. of Labor OSHA,OSHA 3949,2019,1,https://www.osha.gov/sites/default/files/publications/OSHA3949.pdf,https://www.osha.gov/publications/publication-products?publication_title=3949,f4de687c0fd3,One page card; too thin to count as a document
X04,extras,extras/osha3371_combustible_dust_hazcom_guidance.pdf,Hazard Communication Guidance for Combustible Dusts,U.S. Dept. of Labor OSHA,OSHA 3371-08,2009,13,https://www.osha.gov/sites/default/files/publications/3371COMBUSTIBLE-DUST.pdf,https://www.osha.gov/publications/3371combustible-dust,303364b7059e,Extra safety doc
X05,extras,extras/doe_hdbk_1018_v2_mechanical_science.pdf,DOE Fundamentals Handbook: Mechanical Science Volume 2 of 2,U.S. Department of Energy,DOE-HDBK-1018/2-93,January 1993,130,https://www-mdp.eng.cam.ac.uk/web/library/enginfo/textbooks_dvd_only/doe_handbooks/mech2.pdf,https://www.standards.doe.gov/standards-documents/1000/1018-bhdbk-1993-v2,4ad00f6277cf,Extra maintenance doc
X06,extras,(url only),NIST/SEMATECH e-Handbook of Statistical Methods Chapter 6: Process or Product Monitoring and Control,NIST,NIST/SEMATECH e-Handbook,2012 (last update),,https://www.itl.nist.gov/div898/handbook/pmc/pmc.htm,https://www.itl.nist.gov/div898/handbook/,,HTML only; use the URL ingest path. Control charts and SPC
